Run ID,AssayName,Test Name,sampleName,strain,species,replicate,sampleVolume,totalQubitVolume,DF,Trust_result,Qubit_tube_conc,TubeUnits,Original sample conc,OriginalUnits,Sample Volume uL,Dilution Factor,Std 1 RFU,Std 2 RFU,Excitation,Emission,Green RFU,Notes
2019-10-29_120219,Glucose ,Sample_#191029-121021,R7_S7_SA_ATCC_29213,ATCC_29213,SA,R7,100,240,100,TRUE,7.05,uM,282,uM,5,40,94.59,5589.06,Blue,Green,1496.85,
2019-10-29_120219,Glucose ,Sample_#191029-120905,R7_S1_SCFM_Media_Control,scfm,NA,R7,100,240,100,TRUE,12.8,uM,512,uM,5,40,94.59,5589.06,Blue,Green,2461.85,
2019-10-29_160823,Glucose ,Sample_#191029-161005,R7_S10_SA_CDC_ID_474,CDC_474,SA,R7,100,240,5,TRUE,21.8,uM,872,uM,5,40,89.19,6001.9,Blue,Green,3869.98,
2019-10-29_160823,Glucose ,Sample_#191029-160956,R7_S9_SA_CDC_ID_484,CDC_484,SA,R7,100,240,5,TRUE,21.3,uM,852,uM,5,40,89.19,6001.9,Blue,Green,3817,
2019-10-29_160823,Glucose ,Sample_#191029-160946,R7_S8_SA_USA300,USA300,SA,R7,100,240,5,TRUE,4.09,uM,164,uM,5,40,89.19,6001.9,Blue,Green,974.64,
2019-10-29_160823,Glucose ,Sample_#191029-160936,R7_S6_PA_CDC_ID_249,CDC_249,PA,R7,100,240,5,TRUE,4.43,uM,177,uM,5,40,89.19,6001.9,Blue,Green,1049.44,
2019-10-29_160823,Glucose ,Sample_#191029-160925,R7_S5_PA_CDC_ID_234,CDC_234,PA,R7,100,240,5,TRUE,3.23,uM,129,uM,5,40,89.19,6001.9,Blue,Green,784.6,
2019-10-29_160823,Glucose ,Sample_#191029-160915,R7_S4_PA_CDC_ID_258,CDC_258,PA,R7,100,240,5,TRUE,5.51,uM,220,uM,5,40,89.19,6001.9,Blue,Green,1279.7,
2019-10-29_160823,Glucose ,Sample_#191029-160906,R7_S3_PA_Evolved_Anc,scfm_evolved_isogenic,PA,R7,100,240,5,TRUE,6.15,uM,246,uM,5,40,89.19,6001.9,Blue,Green,1413.77,
2019-10-29_160823,Glucose ,Sample_#191029-160854,R7_S2_PA_Isogenic,isogenic,PA,R7,100,240,5,TRUE,6.25,uM,250,uM,5,40,89.19,6001.9,Blue,Green,1434.65,
2019-10-30_112858,Glucose ,Sample_#191030-113541,R6_S8_SA_USA300,USA300,SA,R6,100,240,5,TRUE,31.8,uM,1272,uM,5,40,98.53,5835.4,Blue,Green,4719.57,
2019-10-30_112858,Glucose ,Sample_#191030-113520,R6_S6_PA_CDC_ID_249,CDC_249,PA,R6,100,240,5,TRUE,4.75,uM,190,uM,5,40,98.53,5835.4,Blue,Green,1096.17,
2019-10-30_112858,Glucose ,Sample_#191030-113458,R6_S4_PA_CDC_ID_258,CDC_258,PA,R6,100,240,5,TRUE,5.3,uM,212,uM,5,40,98.53,5835.4,Blue,Green,1211.31,
2019-10-30_112858,Glucose ,Sample_#191030-113451,R6_S3_PA_Evolved_Anc,scfm_evolved_isogenic,PA,R6,100,240,5,TRUE,6.84,uM,274,uM,5,40,98.53,5835.4,Blue,Green,1520.91,
2019-10-30_112858,Glucose ,Sample_#191030-113442,R6_S2_PA_Isogenic,isogenic,PA,R6,100,240,5,TRUE,6.44,uM,258,uM,5,40,98.53,5835.4,Blue,Green,1441.41,
2019-10-30_112858,Glucose ,Sample_#191030-113430,R6_S1_SCFM_Media_Control,scfm,NA,R6,100,240,100,TRUE,13.7,uM,548,uM,5,40,98.53,5835.4,Blue,Green,2719.29,
2019-10-30_112858,Glucose ,Sample_#191030-113331,R2_S9_SA_CDC_ID_484,CDC_484,SA,R2,100,240,5,TRUE,7.96,uM,318,uM,5,40,98.53,5835.4,Blue,Green,1736.05,
2019-10-30_112858,Glucose ,Sample_#191030-113323,R2_S8_SA_USA300,USA300,SA,R2,100,240,5,TRUE,30.8,uM,1232,uM,5,40,98.53,5835.4,Blue,Green,4636,
2019-10-30_112858,Glucose ,Sample_#191030-113252,R2_S6_PA_CDC_ID_249,CDC_249,PA,R2,100,240,5,TRUE,5.58,uM,223,uM,5,40,98.53,5835.4,Blue,Green,1268.65,
2019-10-30_112858,Glucose ,Sample_#191030-113244,R2_S5_PA_CDC_ID_234,CDC_234,PA,R2,100,240,5,TRUE,3.06,uM,122,uM,5,40,98.53,5835.4,Blue,Green,736.51,
2019-10-30_112858,Glucose ,Sample_#191030-113237,R2_S4_PA_CDC_ID_258,CDC_258,PA,R2,100,240,5,TRUE,6.17,uM,247,uM,5,40,98.53,5835.4,Blue,Green,1389.04,
2019-10-30_112858,Glucose ,Sample_#191030-113229,R2_S3_PA_Evolved_Anc,scfm_evolved_isogenic,PA,R2,100,240,5,TRUE,8.17,uM,327,uM,5,40,98.53,5835.4,Blue,Green,1775.94,
2019-10-30_112858,Glucose ,Sample_#191030-113222,R2_S2_PA_Isogenic,isogenic,PA,R2,100,240,5,TRUE,7.38,uM,295,uM,5,40,98.53,5835.4,Blue,Green,1625.84,
2019-10-30_112858,Glucose ,Sample_#191030-113206,R2_S1_SCFM_Media_Control,scfm,NA,R2,100,240,100,TRUE,12.8,uM,512,uM,5,40,98.53,5835.4,Blue,Green,2565.98,
2019-10-30_112858,Glucose ,Sample_#191030-113126,R1_S10_SA_CDC_ID_474,CDC_474,SA,R1,100,240,5,TRUE,8.62,uM,345,uM,5,40,98.53,5835.4,Blue,Green,1859.3,
2019-10-30_112858,Glucose ,Sample_#191030-113118,R1_S9_SA_CDC_ID_484,CDC_484,SA,R1,100,240,5,TRUE,42.4,uM,1696,uM,5,40,98.53,5835.4,Blue,Green,5439.12,
2019-10-30_112858,Glucose ,Sample_#191030-113030,R1_S6_PA_CDC_ID_249,CDC_249,PA,R1,100,240,5,TRUE,4.12,uM,165,uM,5,40,98.53,5835.4,Blue,Green,962.74,
2019-10-30_112858,Glucose ,Sample_#191030-113002,R1_S4_PA_CDC_ID_258,CDC_258,PA,R1,100,240,5,TRUE,6.36,uM,254,uM,5,40,98.53,5835.4,Blue,Green,1426.65,
2019-10-30_112858,Glucose ,Sample_#191030-112954,R1_S3_PA_Evolved_Anc,scfm_evolved_isogenic,PA,R1,100,240,5,TRUE,7.09,uM,284,uM,5,40,98.53,5835.4,Blue,Green,1569.61,
2019-10-30_112858,Glucose ,Sample_#191030-112945,R1_S2_PA_Isogenic,isogenic,PA,R1,100,240,5,TRUE,5.5,uM,220,uM,5,40,98.53,5835.4,Blue,Green,1253.14,
2019-10-30_112858,Glucose ,Sample_#191030-112927,R1_S1_SCFM_Media_Control,scfm,NA,R1,100,240,100,TRUE,12.2,uM,488,uM,5,40,98.53,5835.4,Blue,Green,2479.62,
2019-10-30_130806,Glucose ,Sample_#191030-130956,R6_S7_SA_ATCC_29213,ATCC_29213,SA,R6,100,240,2,TRUE,18.5,uM,740,uM,5,40,103.93,5608.15,Blue,Green,3245.08,
2019-10-30_130806,Glucose ,Sample_#191030-130946,R6_S5_PA_CDC_ID_234,CDC_234,PA,R6,100,240,1,TRUE,14.6,uM,584,uM,5,40,103.93,5608.15,Blue,Green,2739.55,
2019-10-30_130806,Glucose ,Sample_#191030-130833,R1_S5_PA_CDC_ID_234,CDC_234,PA,R1,100,240,1,TRUE,13.6,uM,544,uM,5,40,103.93,5608.15,Blue,Green,2598.11,
2019-10-31_101945,Glucose ,Sample_#191031-102139,R3_S9_SA_CDC_ID_484,CDC_484,SA,R3,100,240,5,TRUE,7.22,uM,289,uM,5,40,89.36,5892.45,Blue,Green,1604.21,
2019-10-31_101945,Glucose ,Sample_#191031-102104,R3_S6_PA_CDC_ID_249,CDC_249,PA,R3,100,240,5,TRUE,4.36,uM,174,uM,5,40,89.36,5892.45,Blue,Green,1017.06,
2019-10-31_101945,Glucose ,Sample_#191031-102028,R3_S3_PA_Evolved_Anc,scfm_evolved_isogenic,PA,R3,100,240,5,TRUE,5.26,uM,210,uM,5,40,89.36,5892.45,Blue,Green,1205.66,
2019-10-31_101945,Glucose ,Sample_#191031-102020,R3_S2_PA_Isogenic,isogenic,PA,R3,100,240,5,TRUE,6.56,uM,262,uM,5,40,89.36,5892.45,Blue,Green,1471.96,
2019-10-31_101945,Glucose ,Sample_#191031-102010,R3_S1_SCFM_Media_Control,scfm,NA,R3,100,240,100,TRUE,13.7,uM,548,uM,5,40,89.36,5892.45,Blue,Green,2739.27,
2019-10-31_111109,Glucose ,Sample_#191031-111501,R5_S8_SA_USA300,USA300,SA,R5,100,240,1,TRUE,41.2,uM,1648,uM,5,40,91.58,5674.55,Blue,Green,5220.3,
2019-10-31_111109,Glucose ,Sample_#191031-111454,R5_S7_SA_ATCC_29213,ATCC_29213,SA,R5,100,240,1,TRUE,36.6,uM,1464,uM,5,40,91.58,5674.55,Blue,Green,4932.4,
