strain,biological_replicate,time,medianOD600
ancestor_d10_r1,ancestor_d10_r1_1,0,0.0854
ancestor_d10_r1,ancestor_d10_r1_1,0.17730555555555552,0.0854
ancestor_d10_r1,ancestor_d10_r1_1,0.3546388888888889,0.085500002
ancestor_d10_r1,ancestor_d10_r1_1,0.5319444444444444,0.085699998
ancestor_d10_r1,ancestor_d10_r1_1,0.70925,0.085500002
ancestor_d10_r1,ancestor_d10_r1_1,0.8865833333333334,0.086000003
ancestor_d10_r1,ancestor_d10_r1_1,1.0638888888888889,0.086199999
ancestor_d10_r1,ancestor_d10_r1_1,1.2412222222222222,0.086000003
ancestor_d10_r1,ancestor_d10_r1_1,1.4185277777777778,0.086099997
ancestor_d10_r1,ancestor_d10_r1_1,1.5958333333333334,0.086499996
ancestor_d10_r1,ancestor_d10_r1_1,1.7731666666666668,0.086800002
ancestor_d10_r1,ancestor_d10_r1_1,1.9504722222222222,0.086900003
ancestor_d10_r1,ancestor_d10_r1_1,2.1278055555555557,0.088
ancestor_d10_r1,ancestor_d10_r1_1,2.305111111111111,0.088100001
ancestor_d10_r1,ancestor_d10_r1_1,2.482416666666667,0.0889
ancestor_d10_r1,ancestor_d10_r1_1,2.6597500000000003,0.089299999
ancestor_d10_r1,ancestor_d10_r1_1,2.8370555555555557,0.0911
ancestor_d10_r1,ancestor_d10_r1_1,3.0143611111111115,0.092600003
ancestor_d10_r1,ancestor_d10_r1_1,3.191666666666667,0.094499998
ancestor_d10_r1,ancestor_d10_r1_1,3.368972222222222,0.095899999
ancestor_d10_r1,ancestor_d10_r1_1,3.5462777777777776,0.098200001
ancestor_d10_r1,ancestor_d10_r1_1,3.723583333333333,0.100500003
ancestor_d10_r1,ancestor_d10_r1_1,3.900888888888889,0.103699997
ancestor_d10_r1,ancestor_d10_r1_1,4.078194444444445,0.107299998
ancestor_d10_r1,ancestor_d10_r1_1,4.2555,0.111599997
ancestor_d10_r1,ancestor_d10_r1_1,4.432805555555556,0.118900001
ancestor_d10_r1,ancestor_d10_r1_1,4.610111111111111,0.128299996
ancestor_d10_r1,ancestor_d10_r1_1,4.787416666666667,0.141900003
ancestor_d10_r1,ancestor_d10_r1_1,4.964722222222222,0.158600003
ancestor_d10_r1,ancestor_d10_r1_1,5.142027777777778,0.182600006
ancestor_d10_r1,ancestor_d10_r1_1,5.319333333333333,0.208900005
ancestor_d10_r1,ancestor_d10_r1_1,5.4966388888888895,0.234300002
ancestor_d10_r1,ancestor_d10_r1_1,5.6739444444444445,0.262699991
ancestor_d10_r1,ancestor_d10_r1_1,5.851249999999999,0.286199987
ancestor_d10_r1,ancestor_d10_r1_1,6.028555555555555,0.314599991
ancestor_d10_r1,ancestor_d10_r1_1,6.20586111111111,0.341699988
ancestor_d10_r1,ancestor_d10_r1_1,6.383166666666667,0.371699989
ancestor_d10_r1,ancestor_d10_r1_1,6.560472222222222,0.395399988
ancestor_d10_r1,ancestor_d10_r1_1,6.737777777777778,0.412699997
ancestor_d10_r1,ancestor_d10_r1_1,6.915083333333333,0.433499992
ancestor_d10_r1,ancestor_d10_r1_1,7.092388888888888,0.455799997
ancestor_d10_r1,ancestor_d10_r1_1,7.269694444444444,0.48089999
ancestor_d10_r1,ancestor_d10_r1_1,7.447,0.498600006
ancestor_d10_r1,ancestor_d10_r1_1,7.624305555555555,0.525200009
ancestor_d10_r1,ancestor_d10_r1_1,7.801611111111111,0.540600002
ancestor_d10_r1,ancestor_d10_r1_1,7.978916666666666,0.573899984
ancestor_d10_r1,ancestor_d10_r1_1,8.156222222222222,0.582899988
ancestor_d10_r1,ancestor_d10_r1_1,8.333527777777778,0.610599995
ancestor_d10_r1,ancestor_d10_r1_1,8.510833333333332,0.619300008
ancestor_d10_r1,ancestor_d10_r1_1,8.688138888888888,0.638700008
ancestor_d10_r1,ancestor_d10_r1_1,8.865444444444444,0.652400017
ancestor_d10_r1,ancestor_d10_r1_1,9.042750000000002,0.670799971
ancestor_d10_r1,ancestor_d10_r1_1,9.220055555555554,0.675899982
ancestor_d10_r1,ancestor_d10_r1_1,9.397361111111111,0.716799974
ancestor_d10_r1,ancestor_d10_r1_1,9.574666666666667,0.714699984
ancestor_d10_r1,ancestor_d10_r1_1,9.751972222222223,0.73059999900000006
ancestor_d10_r1,ancestor_d10_r1_1,9.929277777777777,0.747900009
ancestor_d10_r1,ancestor_d10_r1_1,10.106583333333333,0.743300021
ancestor_d10_r1,ancestor_d10_r1_1,10.283888888888889,0.756200016
ancestor_d10_r1,ancestor_d10_r1_1,10.461194444444446,0.763000011
ancestor_d10_r1,ancestor_d10_r1_1,10.638499999999999,0.772099972
ancestor_d10_r1,ancestor_d10_r1_1,10.815805555555556,0.787100017
ancestor_d10_r1,ancestor_d10_r1_1,10.99311111111111,0.79519999
ancestor_d10_r1,ancestor_d10_r1_1,11.170416666666666,0.804799974
ancestor_d10_r1,ancestor_d10_r1_1,11.347722222222222,0.814599991
ancestor_d10_r1,ancestor_d10_r1_1,11.525027777777778,0.824400008
ancestor_d10_r1,ancestor_d10_r1_1,11.702333333333334,0.829400003
ancestor_d10_r1,ancestor_d10_r1_1,11.879638888888888,0.842599988
ancestor_d10_r1,ancestor_d10_r1_1,12.056944444444444,0.863300025
ancestor_d10_r1,ancestor_d10_r1_1,12.234250000000001,0.882600009
ancestor_d10_r1,ancestor_d10_r1_1,12.411555555555555,0.887700021
ancestor_d10_r1,ancestor_d10_r1_1,12.588861111111111,0.898599982
ancestor_d10_r1,ancestor_d10_r1_1,12.766166666666665,0.904500008
ancestor_d10_r1,ancestor_d10_r1_1,12.943472222222223,0.891600013
ancestor_d10_r1,ancestor_d10_r1_1,13.120777777777779,0.907899976
ancestor_d10_r1,ancestor_d10_r1_1,13.298083333333333,0.896700025
ancestor_d10_r1,ancestor_d10_r1_1,13.475388888888888,0.897899985
ancestor_d10_r1,ancestor_d10_r1_1,13.652694444444444,0.907500029
ancestor_d10_r1,ancestor_d10_r1_1,13.83,0.907899976
ancestor_d10_r1,ancestor_d10_r1_1,14.007305555555556,0.915700018
ancestor_d10_r1,ancestor_d10_r1_1,14.18461111111111,0.92110002
ancestor_d10_r1,ancestor_d10_r1_1,14.361916666666668,0.925100029
ancestor_d10_r1,ancestor_d10_r1_1,14.53922222222222,0.935000002
ancestor_d10_r1,ancestor_d10_r1_1,14.716527777777777,0.943599999
ancestor_d10_r1,ancestor_d10_r1_1,14.893833333333333,0.951699972
ancestor_d10_r1,ancestor_d10_r1_1,15.071138888888889,0.963500023
ancestor_d10_r1,ancestor_d10_r1_1,15.248444444444443,0.973999977
ancestor_d10_r1,ancestor_d10_r1_1,15.425749999999999,0.986299992
ancestor_d10_r1,ancestor_d10_r1_1,15.603055555555555,0.998099983
ancestor_d10_r1,ancestor_d10_r1_1,15.780361111111112,1.001299977
ancestor_d10_r1,ancestor_d10_r1_1,15.957666666666665,1.004299998
ancestor_d10_r1,ancestor_d10_r1_1,16.134972222222224,1.007500052
