project,replicate,sample,sampleName,sampleNameiLab,date_collected,scfm_batch,scfm_batch_date,species,strain,count1_0h,count2_0h,count3_0h,count4_0h,DF_0h,VP_0h,average_0h_CFU,count1_24h,count2_24h,count3_24h,count4_24h,DF_24h,VP_24h,average_24h_CFU,OD600_24h,Notes
LJD_Papin_Lab,R0,S1,SCFM,NA,8_8_2019,B4,8_6_2019,NA,NA,0,0,0,0,5,0.01,0.00E+00,0,0,0,0,0,0.01,0.00E+00,0.0416,replicate discarded
LJD_Papin_Lab,R0,S2,PA Isogenic,NA,8_8_2019,B4,8_6_2019,PA,isogenic,5,1,3,2,4,0.01,2.75E+06,23,21,29,22,6,0.01,2.38E+09,0.5224,replicate discarded
LJD_Papin_Lab,R0,S3,PA SCFM-Evolved,NA,8_8_2019,B4,8_6_2019,PA,scfm_evolved_isogenic,12,11,15,11,4,0.01,1.23E+07,28,29,31,34,6,0.01,3.05E+09,0.5995,replicate discarded
LJD_Papin_Lab,R0,S4,PA CDC 258,NA,8_8_2019,B4,8_6_2019,PA,CDC_258,2,6,6,8,4,0.01,5.50E+06,3,3,6,1,7,0.01,3.25E+09,0.6329,replicate discarded
LJD_Papin_Lab,R0,S5,PA CDC 234,NA,8_8_2019,B4,8_6_2019,PA,CDC_234,6,4,8,6,4,0.01,6.00E+06,3,2,2,3,7,0.01,2.50E+09,0.6037,replicate discarded
LJD_Papin_Lab,R0,S6,PA CDC 249,NA,8_8_2019,B4,8_6_2019,PA,CDC_249,2,3,4,4,4,0.01,3.25E+06,40,40,24,30,5,0.01,3.35E+08,0.3706,replicate discarded
LJD_Papin_Lab,R0,S7,SA ATCC 29213,NA,8_8_2019,B4,8_6_2019,SA,ATCC_29213,9,4,8,8,3,0.01,7.25E+05,20,16,18,23,3,0.01,1.93E+06,0.1024,replicate discarded
LJD_Papin_Lab,R0,S8,SA USA300,NA,8_8_2019,B4,8_6_2019,SA,USA300,1,5,4,8,3,0.01,4.50E+05,5,10,12,7,4,0.01,8.50E+06,0.1059,Contaminated with PA14; replicate discarded
LJD_Papin_Lab,R0,S9,SA CDC 484,NA,8_8_2019,B4,8_6_2019,SA,CDC_484,5,4,6,4,2,0.01,4.75E+04,20,23,18,19,3,0.01,2.00E+06,0.0539,replicate discarded
LJD_Papin_Lab,R0,S10,SA CDC 474,NA,8_8_2019,B4,8_6_2019,SA,CDC_474,7,5,3,5,3,0.01,5.00E+05,11,13,7,9,4,0.01,1.00E+07,0.1139,replicate discarded
LJD_Papin_Lab,R1,S1,SCFM,R1_S1_SCFM_Media_Control,8_20_2019,B4,8_6_2019,NA,NA,0,0,0,0,0,0.01,0.00E+00,0,0,0,0,0,0.01,0.00E+00,0.0401,
LJD_Papin_Lab,R1,S2,PA Isogenic,R1_S2_PA_Isogenic,8_20_2019,B4,8_6_2019,PA,isogenic,6,5,5,2,4,0.01,4.50E+06,6,2,5,3,7,0.01,4.00E+09,0.5829,
LJD_Papin_Lab,R1,S3,PA SCFM-Evolved,R1_S3_PA_Evolved_Anc,8_20_2019,B4,8_6_2019,PA,scfm_evolved_isogenic,6,5,9,5,5,0.01,6.25E+07,4,1,5,2,7,0.01,3.00E+09,0.5937,
LJD_Papin_Lab,R1,S4,PA CDC 258,R1_S4_PA_CDC_ID_258,8_20_2019,B4,8_6_2019,PA,CDC_258,12,10,16,21,1,0.01,1.48E+04,4,7,8,4,7,0.01,5.75E+09,0.6103,
LJD_Papin_Lab,R1,S5,PA CDC 234,R1_S5_PA_CDC_ID_234,8_20_2019,B4,8_6_2019,PA,CDC_234,1,5,5,2,4,0.01,3.25E+06,3,2,2,1,7,0.01,2.00E+09,0.5923,
LJD_Papin_Lab,R1,S6,PA CDC 249,R1_S6_PA_CDC_ID_249,8_20_2019,B4,8_6_2019,PA,CDC_249,13,21,10,16,4,0.01,1.50E+07,4,4,7,2,7,0.01,4.25E+09,0.5444,
LJD_Papin_Lab,R1,S7,SA ATCC 29213,R1_S7_SA_ATCC_29213,8_20_2019,B4,8_6_2019,SA,ATCC_29213,19,14,14,20,3,0.01,1.68E+06,11,10,5,11,4,0.01,9.25E+06,0.1266,
LJD_Papin_Lab,R1,S8,SA USA300,R1_S8_SA_USA300,8_20_2019,B4,8_6_2019,SA,USA300,5,2,3,4,3,0.01,3.50E+05,3,6,6,2,5,0.01,4.25E+07,0.1005,
LJD_Papin_Lab,R1,S9,SA CDC 484,R1_S9_SA_CDC_ID_484,8_20_2019,B4,8_6_2019,SA,CDC_484,4,7,7,16,1,0.01,8.50E+03,2,4,6,9,4,0.01,5.25E+06,0.0644,
LJD_Papin_Lab,R1,S10,SA CDC 474,R1_S10_SA_CDC_ID_474,8_20_2019,B4,8_6_2019,SA,CDC_474,4,6,5,4,3,0.01,4.75E+05,19,24,19,22,4,0.01,2.10E+07,0.1543,
LJD_Papin_Lab,R2,S1,SCFM,R2_S1_SCFM_Media_Control,8_31_2019,B5,8_27_2019,NA,NA,0,0,0,0,0,0.01,0.00E+00,0,0,0,0,0,0.01,0.00E+00,0.04,raw od; lid off for all
LJD_Papin_Lab,R2,S2,PA Isogenic,R2_S2_PA_Isogenic,8_31_2019,B5,8_27_2019,PA,isogenic,5,7,6,7,4,0.01,6.25E+06,5,9,17,13,6,0.01,1.10E+09,0.4865,
LJD_Papin_Lab,R2,S3,PA SCFM-Evolved,R2_S3_PA_Evolved_Anc,8_31_2019,B5,8_27_2019,PA,scfm_evolved_isogenic,17,13,17,17,4,0.01,1.60E+07,2,4,6,3,7,0.01,3.75E+09,0.5353,
LJD_Papin_Lab,R2,S4,PA CDC 258,R2_S4_PA_CDC_ID_258,8_31_2019,B5,8_27_2019,PA,CDC_258,7,6,3,5,4,0.01,5.25E+06,1,3,5,3,7,0.01,3.00E+09,0.7022,
LJD_Papin_Lab,R2,S5,PA CDC 234,R2_S5_PA_CDC_ID_234,8_31_2019,B5,8_27_2019,PA,CDC_234,19,16,13,18,4,0.01,1.65E+07,3,1,5,1,7,0.01,2.50E+09,0.569,
LJD_Papin_Lab,R2,S6,PA CDC 249,R2_S6_PA_CDC_ID_249,8_31_2019,B5,8_27_2019,PA,CDC_249,3,2,4,3,5,0.01,3.00E+07,31,36,28,32,5,0.01,3.18E+08,0.3967,
LJD_Papin_Lab,R2,S7,SA ATCC 29213,R2_S7_SA_ATCC_29213,8_31_2019,B5,8_27_2019,SA,ATCC_29213,2,3,1,2,4,0.01,2.00E+06,1,2,5,4,5,0.01,3.00E+07,0.0779,
LJD_Papin_Lab,R2,S8,SA USA300,R2_S8_SA_USA300,8_31_2019,B5,8_27_2019,SA,USA300,4,3,3,7,3,0.01,4.25E+05,1,2,6,1,4,0.01,2.50E+06,0.063,
LJD_Papin_Lab,R2,S9,SA CDC 484,R2_S9_SA_CDC_ID_484,8_31_2019,B5,8_27_2019,SA,CDC_484,3,2,1,1,3,0.01,1.75E+05,7,7,4,8,4,0.01,6.50E+06,0.0874,
