Peak,Name,strain,species,FC,log2FC,pvalue_unadjusted,pvalue_BH_corrected,asterisks_BH_corrected
n_P116,Gluconic acid,ATCC_29213,SA,7.0870691962065795,2.825189135185562,0.00216502933303838,0.004583050857802594,*
n_P116,Gluconic acid,CDC_ID_234,PA,0.6751789352357603,-0.5666582004763981,0.201336485287401,0.29178302944727963,
n_P116,Gluconic acid,CDC_ID_249,PA,1.347882891072621,0.43069515541579456,0.0409135529844968,0.06845571387459323,
n_P116,Gluconic acid,CDC_ID_258,PA,2.043151194944589,1.0307959686946007,0.00729035809153564,0.013967831841816759,*
n_P116,Gluconic acid,CDC_ID_474,SA,446.474112755589,8.80243271790545,0.00216502933303838,0.004583050857802594,*
n_P116,Gluconic acid,CDC_ID_484,SA,8.53900496824842,3.0940679655120737,0.0214507336863221,0.038245913815486594,*
n_P116,Gluconic acid,Isogenic,PA,2.087714635408684,1.0619245269383617,0.00216502933303838,0.004583050857802594,*
n_P116,Gluconic acid,SCFM_evolved,PA,2.383174837560715,1.2528847962739242,0.00216502933303838,0.004583050857802594,*
n_P116,Gluconic acid,USA300,SA,4.77778630060994,2.2563423268070077,0.0298420644179543,0.05108035980929065,
n_P123,D-(+)-Galactose,ATCC_29213,SA,0.030240347972536635,-5.047381449178549,0.00216502933303838,0.004583050857802594,*
n_P123,D-(+)-Galactose,CDC_ID_234,PA,0.02909698147030777,-5.102986694500101,0.00216502933303838,0.004583050857802594,*
n_P123,D-(+)-Galactose,CDC_ID_249,PA,0.02983327486374932,-5.066933835622726,0.00216502933303838,0.004583050857802594,*
n_P123,D-(+)-Galactose,CDC_ID_258,PA,0.040714060562027726,-4.618329075873234,0.00216502933303838,0.004583050857802594,*
n_P123,D-(+)-Galactose,CDC_ID_474,SA,0.0271800070584297,-5.201310359013048,0.00216502933303838,0.004583050857802594,*
n_P123,D-(+)-Galactose,CDC_ID_484,SA,0.050421259013901765,-4.309824047174564,0.00216502933303838,0.004583050857802594,*
n_P123,D-(+)-Galactose,Isogenic,PA,0.04670359677445931,-4.420322529585849,0.00216502933303838,0.004583050857802594,*
n_P123,D-(+)-Galactose,SCFM_evolved,PA,0.035393311847645666,-4.820379424829239,0.00216502933303838,0.004583050857802594,*
n_P123,D-(+)-Galactose,USA300,SA,0.03045769965224462,-5.037049204798499,0.00216502933303838,0.004583050857802594,*
n_P128,D-Alanyl-D-alanine,ATCC_29213,SA,69.60848519085327,6.121191274476021,0.00216502933303838,0.004583050857802594,*
n_P128,D-Alanyl-D-alanine,CDC_ID_234,PA,14.395549719449368,3.8475509766946328,0.00216502933303838,0.004583050857802594,*
n_P128,D-Alanyl-D-alanine,CDC_ID_249,PA,36.62320440742935,5.194686122517798,0.00216502933303838,0.004583050857802594,*
n_P128,D-Alanyl-D-alanine,CDC_ID_258,PA,22.26453364267318,4.47667548800889,0.00216502933303838,0.004583050857802594,*
n_P128,D-Alanyl-D-alanine,CDC_ID_474,SA,179.62298630245763,7.48882817294172,0.00216502933303838,0.004583050857802594,*
n_P128,D-Alanyl-D-alanine,CDC_ID_484,SA,139.5153276857354,7.124279820513312,0.00216502933303838,0.004583050857802594,*
n_P128,D-Alanyl-D-alanine,Isogenic,PA,21.945439605263196,4.455849265061263,0.00216502933303838,0.004583050857802594,*
n_P128,D-Alanyl-D-alanine,SCFM_evolved,PA,22.43094475482058,4.487418480554106,0.00216502933303838,0.004583050857802594,*
n_P128,D-Alanyl-D-alanine,USA300,SA,190.78654176238734,7.5758155958274696,0.00216502933303838,0.004583050857802594,*
n_P143,Threonine,ATCC_29213,SA,1.8754993471868526,0.9072747608343844,1,1,
n_P143,Threonine,CDC_ID_234,PA,0.14711103666970551,-2.765022609332276,0.00216502933303838,0.004583050857802594,*
n_P143,Threonine,CDC_ID_249,PA,0.14874027960735187,-2.749132705596119,0.00216502933303838,0.004583050857802594,*
n_P143,Threonine,CDC_ID_258,PA,0.14980594915548656,-2.738833177054026,0.00216502933303838,0.004583050857802594,*
n_P143,Threonine,CDC_ID_474,SA,1.800894775304294,0.8487138883060621,0.898326787269238,0.9343656609579928,
n_P143,Threonine,CDC_ID_484,SA,3.7717488197382596,1.9152336026874588,0.898326787269238,0.9343656609579928,
n_P143,Threonine,Isogenic,PA,0.14085401474257295,-2.827727409650524,0.00216502933303838,0.004583050857802594,*
n_P143,Threonine,SCFM_evolved,PA,0.150866287748987,-2.7286576344903053,0.00216502933303838,0.004583050857802594,*
n_P143,Threonine,USA300,SA,1.4753391663522772,0.5610466543835624,0.898326787269238,0.9343656609579928,
n_P188,Pyruvic acid,ATCC_29213,SA,227.12091859990002,7.827316779000919,0.00216502933303838,0.004583050857802594,*
n_P188,Pyruvic acid,CDC_ID_234,PA,0.18648165169650655,-2.4228944070807565,0.00216502933303838,0.004583050857802594,*
n_P188,Pyruvic acid,CDC_ID_249,PA,0.10352561282540225,-3.271940352043836,0.00216502933303838,0.004583050857802594,*
n_P188,Pyruvic acid,CDC_ID_258,PA,0.1453612036688378,-2.7822858238634454,0.00493790547090731,0.009731186095386373,*
n_P188,Pyruvic acid,CDC_ID_474,SA,272.91018221237755,8.092282411991256,0.00216502933303838,0.004583050857802594,*
n_P188,Pyruvic acid,CDC_ID_484,SA,268.3123271575165,8.067769528087194,0.00216502933303838,0.004583050857802594,*
n_P188,Pyruvic acid,Isogenic,PA,0.19342735944836442,-2.370136222777771,0.00729035809153564,0.013967831841816759,*
n_P188,Pyruvic acid,SCFM_evolved,PA,0.08448069932558146,-3.5652344124958244,0.00329451387658258,0.0067125423325323525,*
n_P188,Pyruvic acid,USA300,SA,252.49085733435533,7.980087338759201,0.00216502933303838,0.004583050857802594,*
n_P202,3-Phosphoglyceric acid,ATCC_29213,SA,34.96459622669536,5.127822939840557,0.00216502933303838,0.004583050857802594,*
n_P202,3-Phosphoglyceric acid,CDC_ID_234,PA,1.0074190207495857,0.010663875419880424,0.609280159304103,0.714747086008051,
n_P202,3-Phosphoglyceric acid,CDC_ID_249,PA,1.0239676815818555,0.03417018178578742,0.898326787269238,0.9343656609579928,
n_P202,3-Phosphoglyceric acid,CDC_ID_258,PA,1.026300854893668,0.037453711684068955,0.701478108866614,0.7879082415171109,
n_P202,3-Phosphoglyceric acid,CDC_ID_474,SA,32.76087470906888,5.033901972061308,0.00216502933303838,0.004583050857802594,*
n_P202,3-Phosphoglyceric acid,CDC_ID_484,SA,37.59555228595125,5.232490089914008,0.00216502933303838,0.004583050857802594,*
n_P202,3-Phosphoglyceric acid,Isogenic,PA,0.9795736230428113,-0.029774167879778803,0.0966975676176362,0.15056051024101375,
n_P202,3-Phosphoglyceric acid,SCFM_evolved,PA,0.9137908797524223,-0.1300640513359816,0.159864197547973,0.23815299012681693,
n_P202,3-Phosphoglyceric acid,USA300,SA,46.10317507134084,5.5267942056708685,0.00216502933303838,0.004583050857802594,*
n_P209,N-Acetylornithine,ATCC_29213,SA,1.200502828513079,0.26363880271617185,0.522903234512671,0.6397075933908261,
n_P209,N-Acetylornithine,CDC_ID_234,PA,19.5584519586471,4.289720281130224,0.00216502933303838,0.004583050857802594,*
n_P209,N-Acetylornithine,CDC_ID_249,PA,60.400206064006824,5.916481566408141,0.00216502933303838,0.004583050857802594,*
n_P209,N-Acetylornithine,CDC_ID_258,PA,17.34805267214451,4.116701823517267,0.00216502933303838,0.004583050857802594,*
n_P209,N-Acetylornithine,CDC_ID_474,SA,1.2712023450417411,0.3461936912032312,0.0966975676176362,0.15056051024101375,
n_P209,N-Acetylornithine,CDC_ID_484,SA,1.1932092231400309,0.25484703441747403,0.0736382701203026,0.11763807312604588,
n_P209,N-Acetylornithine,Isogenic,PA,10.701477605270274,3.4197381052165503,0.00216502933303838,0.004583050857802594,*
n_P209,N-Acetylornithine,SCFM_evolved,PA,12.10176697355559,3.597145805021357,0.00216502933303838,0.004583050857802594,*
n_P209,N-Acetylornithine,USA300,SA,1.1800413401030494,0.23883740205910792,0.250153007959382,0.35083493821003153,
n_P210,Phosphoric acid,ATCC_29213,SA,1.1983536271461768,0.26105370182261806,0.898326787269238,0.9343656609579928,
n_P210,Phosphoric acid,CDC_ID_234,PA,1.0535511830207314,0.07526040404273245,1,1,
n_P210,Phosphoric acid,CDC_ID_249,PA,0.48598663937693043,-1.041011442722148,0.0966975676176362,0.15056051024101375,
n_P210,Phosphoric acid,CDC_ID_258,PA,0.39499730925208015,-1.34008526929864,0.125201029610315,0.19135646818753393,
n_P210,Phosphoric acid,CDC_ID_474,SA,1.1762892485271697,0.2342428612839594,0.898326787269238,0.9343656609579928,
n_P210,Phosphoric acid,CDC_ID_484,SA,1.1381266071942384,0.18666105449109355,0.250153007959382,0.35083493821003153,
n_P210,Phosphoric acid,Isogenic,PA,1.146608133133246,0.19737241752556864,0.609280159304103,0.714747086008051,
n_P210,Phosphoric acid,SCFM_evolved,PA,0.8923100003846686,-0.16438308617590702,0.522903234512671,0.6397075933908261,
n_P210,Phosphoric acid,USA300,SA,1.2149509763610917,0.2808981018247755,0.306685065904181,0.4162785764866549,
n_P219,D-(+)-Malic acid,ATCC_29213,SA,41.81133412678864,5.385822172887782,0.00216502933303838,0.004583050857802594,*
n_P219,D-(+)-Malic acid,CDC_ID_234,PA,0.07309227388109706,-3.774137273645098,0.00216502933303838,0.004583050857802594,*
n_P219,D-(+)-Malic acid,CDC_ID_249,PA,0.11557254805711636,-3.1131293396538724,0.00216502933303838,0.004583050857802594,*
