strain,species,replicate,Peak,Name,Formula,KEGG_ID,Molecular Weight,RT [min],mzVault Best Match,mzCloud Best Match,MS2,Area,normalizedArea
ATCC_29213,SA,R2,p_P43,Spermidine,C7 H19 N3,C00315,145.15783,0.776,91.4,88.1,DDA for preferred ion,326102.2393,-0.36619938166057864
ATCC_29213,SA,R2,p_P48,Ornithine,C5 H12 N2 O2,C01602,132.08985,0.791,63.6,61.7,DDA for preferred ion,56899703,2.6592575086518906
ATCC_29213,SA,R2,p_P170,2-Amino-4-methylpyrimidine,C5 H7 N3,NA,109.06402,0.882,67.9,77.8,DDA for preferred ion,34198101.16,3.3169924804178486
ATCC_29213,SA,R2,p_P173,D-(-)-Aspartic acid,C4 H7 N O4,C00402,133.03742,0.888,86.4,79.7,DDA for preferred ion,6743868.72,2.7819647344675893
ATCC_29213,SA,R2,p_P174,L-Homoserine,C4 H9 N O3,C00263,119.05826,0.89,93.6,89.1,DDA for preferred ion,121907440.5,3.7674853546433944
ATCC_29213,SA,R2,p_P175,L-Serine,C3 H7 N O3,C00065,105.04263,0.891,93.1,86.3,DDA for preferred ion,20507180.47,3.491303862231689
ATCC_29213,SA,R2,p_P185,L-Glutamic acid,C5 H9 N O4,C00025,147.05306,0.9,92,86.1,DDA for preferred ion,217047175.9,3.2550028134986277
ATCC_29213,SA,R2,p_P200,Choline,C5 H13 N O,C00114,103.09984,0.904,96.3,87.7,DDA for preferred ion,116144.6008,-1.230373133929941
ATCC_29213,SA,R2,p_P204,DL-Lysine,C6 H14 N2 O2,C16440,146.10543,0.905,91.9,81.8,DDA for preferred ion,168433645.3,3.133471529896081
ATCC_29213,SA,R2,p_P216,Prolinamide,C5 H10 N2 O,C19781,114.0793,0.917,78.3,63,DDA for preferred ion,105308236.8,3.43054484150872
ATCC_29213,SA,R2,p_P217,Methionine sulfoxide,C5 H11 N O3 S,NA,165.04586,0.917,93.8,90.4,DDA for preferred ion,991338.7943,-1.0998105435908982
ATCC_29213,SA,R2,p_P218,Betaine,C5 H11 N O2,C00719,117.07894,0.918,94.7,87.4,DDA for preferred ion,28887881.05,3.7786520330699673
ATCC_29213,SA,R2,p_P240,Homocysteine,C4 H9 N O2 S,C05330,135.0354,0.957,64.1,62.7,DDA for preferred ion,256252.5208,-1.4039637950295614
ATCC_29213,SA,R2,p_P251,D-(+)-Proline,C5 H9 N O2,C00763,115.06331,0.981,93.8,91.1,DDA for preferred ion,2582624490,5.183490280132649
ATCC_29213,SA,R2,p_P274,4-Morpholinepropanesulfonic acid,C7 H15 N O4 S,NA,209.07203,1.005,91.3,93,DDA for preferred ion,6174555596,-0.3004711964910811
ATCC_29213,SA,R2,p_P306,Pipecolic acid,C6 H11 N O2,C00408,129.07895,1.057,71.7,66.8,DDA for preferred ion,49915593.3,2.841297203143082
ATCC_29213,SA,R2,p_P330,gamma-L-Glutamyl-L-glutamic acid,C10 H16 N2 O7,C05282,276.09575,1.102,81.8,79.7,DDA for preferred ion,853867.0845,-1.4146203616871986
ATCC_29213,SA,R2,p_P341,N5-Ethyl-L-glutamine,C7 H14 N2 O3,C01047,174.10033,1.122,NA,73.3,DDA for preferred ion,932424.0221,-1.7288990596115994
ATCC_29213,SA,R2,p_P362,"N,N-Diethylethanolamine",C6 H15 N O,NA,117.11535,1.165,90.5,86.5,DDA for preferred ion,10621325.8,-0.17792790940310255
ATCC_29213,SA,R2,p_P384,D-Serine,C3 H7 N O3,C00740,105.04267,1.21,94.7,92.5,DDA for preferred ion,2490776.162,-0.4239363677437247
ATCC_29213,SA,R2,p_P387,N-Acetyl-DL-serine,C5 H9 N O4,NA,147.05308,1.212,92.6,91.4,DDA for preferred ion,10977778.57,-0.27429768943897415
ATCC_29213,SA,R2,p_P389,Cytidine 5'-monophosphate (hydrate),C9 H14 N3 O8 P,C00055,323.05165,1.214,84.5,89.1,DDA for preferred ion,436721.2341,-3.0418394217318117
ATCC_29213,SA,R2,p_P410,2-Aminooctanedioic acid,C8 H15 N O4,NA,189.10005,1.267,83.9,73.6,DDA for preferred ion,3066495.846,3.0026662338085686
